,,,,,,,,,
Click here to see how products are displayed on Qashier POS Terminal,,,,,,,,,
,,,,,,,,,
Tabs* (up to 8),Category*,Product Name*,Selling Price*,Printer Code,Cost Price (leave blank if N/A),Barcode Number (leave blank if N/A),Current Stock (leave blank if N/A),Printer Index,KDS Index
Drinks,Signature Cocktails,Port Barton Sunset, ₱ 550.00 ,BAR,,,,,
Drinks,Signature Cocktails,Blue Ocean Mule, ₱ 550.00 ,BAR,,,,,
Drinks,Signature Cocktails,Spiced Cinnamon Apple Spritz, ₱ 550.00 ,BAR,,,,,
Drinks,Classic Cocktails,Fruity Margarita, ₱ 300.00 ,BAR,,,,,
Drinks,Classic Cocktails,Fruity Daiqueri, ₱ 300.00 ,BAR,,,,,
Drinks,Classic Cocktails,Amaretto Sour, ₱ 300.00 ,BAR,,,,,
Drinks,Classic Cocktails,Caipiranha, ₱ 300.00 ,BAR,,,,,
Drinks,Classic Cocktails,Cosmopolitan, ₱ 300.00 ,BAR,,,,,
Drinks,Classic Cocktails,Pinacolada, ₱ 300.00 ,BAR,,,,,
Drinks,Classic Cocktails,Sex On The Beach, ₱ 300.00 ,BAR,,,,,
Drinks,Shakes/Juices,Mango, ₱ 250.00 ,BAR,,,,,
Drinks,Shakes/Juices,Pineapple, ₱ 250.00 ,BAR,,,,,
Drinks,Shakes/Juices,Watermelon, ₱ 250.00 ,BAR,,,,,
Drinks,Shakes/Juices,Apple, ₱ 250.00 ,BAR,,,,,
Drinks,Shakes/Juices,Fresh Orange Juice, ₱ 250.00 ,BAR,,,,,
Drinks,Shakes/Juices,Fresh Lemon Juice, ₱ 250.00 ,BAR,,,,,
Drinks,Shakes/Juices,Combi, ₱ 250.00 ,BAR,,,,,
Drinks,Mocktails,Passionada, ₱ 300.00 ,BAR,,,,,
Drinks,Mocktails,Mango Lemonade, ₱ 300.00 ,BAR,,,,,
Drinks,Mocktails,Ginger-Basil-Cucumber Lemonade, ₱ 300.00 ,BAR,,,,,
Drinks,Sodas & Water,Coke Regular, ₱ 120.00 ,BAR,,,,,
Drinks,Sodas & Water,Coke Zero, ₱ 120.00 ,BAR,,,,,
Drinks,Sodas & Water,Sprite, ₱ 120.00 ,BAR,,,,,
Drinks,Sodas & Water,Ginger Ale, ₱ 250.00 ,BAR,,,,,
Drinks,Sodas & Water,Tonic Water, ₱ 120.00 ,BAR,,,,,
Drinks,Sodas & Water,Soda Water, ₱ 120.00 ,BAR,,,,,
Drinks,Sodas & Water,Bottled Water, ₱ 100.00 ,BAR,,,,,
Drinks,Beers,San Mig Pure Malt, ₱ 250.00 ,BAR,,,,,
Drinks,Beers,San Mig Light, ₱ 150.00 ,BAR,,,,,
Drinks,Beers,San Mig Pale Pilsen, ₱ 150.00 ,BAR,,,,,
Drinks,Beers,San Mig Apple, ₱ 150.00 ,BAR,,,,,
Drinks,Beers,Heineken, ₱ 250.00 ,BAR,,,,,
Drinks,Beers,Estrella Galicia, ₱ 250.00 ,BAR,,,,,
Drinks,Coffee & Tea,Espresso, ₱ 150.00 ,BAR,,,,,
Drinks,Coffee & Tea,Americano, ₱ 160.00 ,BAR,,,,,
Drinks,Coffee & Tea,Café Latte, ₱ 250.00 ,BAR,,,,,
Drinks,Coffee & Tea,Cappuccino, ₱ 250.00 ,BAR,,,,,
Drinks,Coffee & Tea,Café Mocha, ₱ 250.00 ,BAR,,,,,
Drinks,Coffee & Tea,Hot Choco, ₱ 250.00 ,BAR,,,,,
Drinks,Coffee & Tea,Chamomile, ₱ 90.00 ,BAR,,,,,
Drinks,Coffee & Tea,English Breakfast, ₱ 90.00 ,BAR,,,,,
Drinks,Coffee & Tea,Black Tea, ₱ 90.00 ,BAR,,,,,
Drinks,Coffee & Tea,Green Tea, ₱ 90.00 ,BAR,,,,,