Click here to see how products are displayed on Qashier POS Terminal,,,,,,,,,
,,,,,,,,,
Tabs* (up to 8),Category*,Product Name*,Selling Price*,Printer Code,Cost Price (leave blank if N/A),Barcode Number (leave blank if N/A),Current Stock (leave blank if N/A),Printer Index,KDS Index
Food,Cold Appetizer,Wahoo Ceviche, ₱ 500.00 ,COLD,,,,2,1
Food,Cold Appetizer,Tuna Crudo, ₱ 500.00 ,COLD,,,,2,1
Food,Cold Appetizer,Salmon Poke, ₱ 500.00 ,COLD,,,,,
Food,Fresh from the Sea,Tuna, ₱ 400.00 ,COLD,,,,,
Food,Fresh from the Sea,Wahoo, ₱ 400.00 ,COLD,,,,,
Food,Fresh from the Sea,Salmon, ₱ 400.00 ,COLD,,,,,
Food,Salad & Dips,Caesar Salad Grande, ₱ 600.00 ,COLD,,,,,
Food,Salad & Dips,Nicoise Salad, ₱ 550.00 ,COLD,,,,,
Food,Salad & Dips,Beetroot Hummus, ₱ 500.00 ,COLD,,,,,
Food,Soup,Fisherman's pot, ₱ 500.00 ,PPS,,,,,
Food,Soup,Lobster Bisque, ₱ 900.00 ,PPS,,,,,
Food,Crispy Bites,Calamares, ₱ 400.00 ,PPS,,,,,
Food,Crispy Bites,Prawn Croquettes, ₱ 400.00 ,MAINS,,,,,
Food,Crispy Bites,Smoked Buffalo Wings, ₱ 400.00 ,PPS,,,,,
Food,"Sandwiches, Burgers & Snacks",Quattro Formaggi Quesadilla, ₱ 698.00 ,PPS,,,,,
Food,"Sandwiches, Burgers & Snacks",Pulled Beef Sandwich, ₱ 550.00 ,PPS,,,,,
Food,"Sandwiches, Burgers & Snacks",Surf & Turf Burger, ₱ 670.00 ,PPS,,,,,
Food,Sizzlers,Mexisisig, ₱ 550.00 ,MAINS,,,,,
Food,Sizzlers,Sizzling Tuna Bites, ₱ 450.00 ,MAINS,,,,,
Food,Pizza,Margherita, ₱ 600.00 ,PPS,,,,,
Food,Pizza,Tropicale, ₱ 650.00 ,PPS,,,,,
Food,Pizza,Pepperoni, ₱ 700.00 ,PPS,,,,,
Food,Pizza,Chirashi Sashimi, ₱ 750.00 ,PPS,,,,,
Food,Pasta,Carbonara Oceanica, ₱ 650.00 ,PPS,,,,,
Food,Pasta,Ragu Alla Bolognese With Parmesan Espuma, ₱ 600.00 ,PPS,,,,,
Food,Pasta,Marina Verde Lasagna, ₱ 670.00 ,PPS,,,,,
Food,Mains,Lobster Thermidor," ₱ 2,400.00 ",MAINS,,,,,
Food,Mains,Crispy Pork Belly, ₱ 600.00 ,MAINS,,,,,
Food,Mains,Angus Ribeye," ₱ 2,500.00 ",MAINS,,,,,
Food,Dessert,Pizza Fritta Ala Nutella Smores, ₱ 300.00 ,PIZZA,,,,,
Food,Dessert,Coconut Mousse, ₱ 300.00 ,COLD,,,,,
Food,Dessert,fresh Fruit Platter, ₱ 300.00 ,COLD,,,,,